tconst	directors
tt10038826	nm4986624
tt10038830	nm10555425
tt10039014	nm9955343
tt10039064	nm10555543
tt10039152	nm6021959
tt10039338	nm10555656
tt10039344	nm2280148
tt10039354	nm0303973
tt10039468	nm1345541
tt10039472	nm8664403
tt10039524	nm1884759
tt10039546	nm10555829
tt10039584	nm9054400
tt10039642	nm8352149,nm2290618
tt10039682	nm10555889
tt10040094	nm5424278,nm6043198
tt10040484	nm0784395
tt10040610	nm6656719
tt10040978	nm0890060
tt10041300	nm0049083
tt10041438	nm2039325,nm10556284
tt10041952	nm2547744,nm0960312
tt10041958	nm10556387,nm2080502
tt10041978	nm10556416
tt10042446	\N
tt10042456	nm6051389
tt10042590	nm2149627
tt10042640	nm10556815
tt10042678	nm10259035
tt10042704	nm10556835
tt10042824	nm4597102
tt10043212	nm6372353
tt10043646	nm8470448
tt10043732	nm2384583
tt10043742	nm5050919
tt10043746	nm0729764
tt10043990	nm1513085
tt10044000	nm2881110,nm3293148
tt10044182	nm3184434
tt10044220	nm10557486
tt10044610	\N
tt10044704	nm3504356
tt10044934	nm10557840
tt10045014	nm10557900
tt10045072	nm2223858
tt10045134	nm8740294
tt10045136	nm4963380
tt10045260	nm0087861
tt10045266	nm9837199
tt10045422	nm10558153
tt10045434	nm0243659
tt10045444	nm10558168
tt10045688	nm1323640
tt10045828	nm3497124
tt10046208	nm3741331
tt10046236	nm6356309
tt10046522	nm4815424
tt10046694	nm9751877
tt10047128	nm4597102
tt10047216	nm10176213
tt10047356	nm10558260
tt10047768	nm1333903
tt10047904	nm1195601
tt10048028	nm10559067
tt10048128	nm0138261
tt10048332	nm10559268
tt10048376	nm7333368
tt10048408	nm5360139
tt10048556	nm0712782
tt10048976	nm10559698
tt10049110	nm2606340
tt10049152	nm10559781
tt10049176	nm10559820
tt10049238	nm2037005
tt10049262	nm1431194
tt10049720	nm1049174
tt10049768	nm3065500
tt10049848	nm3163561
tt10050004	nm4522228
tt10050098	nm2875510
tt10050274	nm1777491
tt10050292	\N
tt10050326	nm4081006,nm3885341
tt10050404	nm10560540
tt10050592	nm10560621
tt10050608	nm9414273,nm8447739,nm8030735
tt10050612	nm2259048
tt10050614	nm10560634
tt10050686	nm10560688
tt10050722	nm7822365
tt10050738	nm10560708
tt10050766	nm0720470
tt10050782	nm0292735
tt10050816	nm7771118
tt10051088	nm1112548
tt10051124	nm10560958
tt10051320	nm8411910
tt10051586	nm1953143
tt10052156	nm3815946
tt10052290	nm9761320
tt10052452	nm10344382
tt10052928	nm0757084
tt10053058	nm4461980,nm3432005,nm0405783,nm0632354,nm9178723,nm1519363
