Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Mail.;rue de Mulhouse;12.0;78.0;IIe;rue de Cléry, 27.;rue des Jeûneurs, 7.
Chaussée d'Antin.;rue des Italiens;13.5;92.0;IXe;boulevard des Italiens, 26-30.;rue Taitbout, 3-11.
Notre-Dame. Saint-Victor.;pont de l'Archevêché;11.0;68.0;IVe,Ve;quai de l'Archevêché.;quai de la Tournelle.
Saint-Georges.;rue de la Tour des Dames;10.0;160.0;IXe;rue de la Rochefoucauld, 7.;rue Blanche, 12 et rue Jean-Baptiste Pigalle, 2.
Plaine de Monceaux.;avenue Gourgaud;30.0;177.0;XVIIe;place du Maréchal Juin, 6.;boulevard Berthier, 51 ter, et rue Eugène Flachat, 23.
Epinettes.;rue Toulouse Lautrec;10.0;180.0;XVIIe;avenue de la Porte de Saint-Ouen, 47.;rue La Fontaine, à la limite du territoire de Saint-Ouen et rue Fructidor.
Batignolles.;rue du Printemps;12.0;160.0;XVIIe;rue de Tocqueville, 98.;boulevard Pereire, 27.
Clignancourt.;rue du Baigneur;12.0;170.0;XVIIIe;rue Ramey, 51.;rue du Mont Cenis, 42.
Grandes Carrières.;passage de Clichy;2.6;200.0;XVIIIe;rue Forest, 1, et boulevard de Clichy, 128.;avenue de Clichy, 4.
Grandes Carrières.;rue du Marché Ordener;8.0;68.0;XVIIIe;rue Ordener, 172.;rue Championnet, 175-175 bis.
Grandes Carrières.;rue Véron;5.6;265.0;XVIIIe;rue André Antoine, 31.;rue Lepic, 26.
Saint-Fargeau.;rue Maurice Berteaux;20.0;120.0;XXe;boulevard Mortier, 56.;rue Le Vau, 15.
Charonne.;rue Pierre Bonnard;5.0;153.0;XXe;rue Galleron, 13.;rue Florian, 28.
Saint-Victor. Jardin des Plantes.;rue Cuvier;15.0;531.0;Ve;quai Saint-Bernard.;rue Geoffroy-Saint-Hilaire, et rue Linné, 2.
Jardin des Plantes. Salpêtrière.;boulevard de l'Hôpital;43.0;1395.0;Ve,XIIIe;place Valhubert, 3.;place d'Italie, 3.
Val de Grâce. Montparnasse.;rue Henri Barbusse;12.0;586.0;Ve,XIVe;place Louis Marin, et rue de l"Abbé de l'Épée, 21.;avenue de l'Observatoire, 51.
Notre-Dame des Champs.;rue de l'Abbé Grégoire;10.0;372.0;VIe;rue de Sèvres, 73.;rue de Vaugirard, 90.
Notre-Dame des Champs.;rue Littré;12.0;171.0;VIe;rue de Vaugirard, 81.;rue de Rennes, 148.
Bel Air.;avenue du Général Messimy;20.0;110.0;XIIe;rue Ernest Lefébure, 9 et avenue Armand Rousseau, 22.;rue de la Nouvelle-Calédonie, et rue du Général Archinard, 2 et place Antoine Furetière.
Saint-Thomas d'Aquin. Invalides.;rue de Varenne;10.3;930.0;VIIe;rue de la Chaise, 14.;boulevard des Invalides, 17.
Ecole Militaire. Gros Caillou. Grenelle.;avenue de La Motte-Picquet;34.0;1220.0;VIIe,XVe;boulevard de La Tour-Maubourg, 64.;boulevard de Grenelle, 111.
Faubourg du Roule.;rue Frédéric Bastiat;12.0;93.0;VIIIe;rue Paul Baudry, 7.;rue d'Artois, 13.
Faubourg du Roule.;rue du Commandant Rivière;12.0;111.0;VIIIe;avenue Franklin D. Roosevelt, 71.;rue d'Artois, 10, et Saint-Philippe du Roule, 9.
Europe.;avenue Velasquez;25.0;86.0;VIIIe;boulevard Malesherbes, 109.;parc de Monceau.
Madeleine. Chaussée d'Antin.;rue Tronchet;28.6;330.0;VIIIe,IXe;place de la Madeleine, 35.;boulevard Haussmann, 55, et rue Auber, 23.
Saint-Vincent de Paul.;rue Perdonnet;12.0;196.0;Xe;rue du Faubourg Saint-Denis, 214 et rue Cail, 24.;boulevard de la Chapelle, 21 et rue Philippe de Girard, 33.
Picpus.;route de Reuilly;10.0;420.0;XIIe;avenue de Gravelle.;carrefour formé avec les routes de la Croix Rouge et des Fortifications.
Picpus.;rue de la Gare de Reuilly;12.0;290.0;XIIe;rue de Reuilly, 119.;rue de Picpus, 68.
Pont de Flandre.;sentier de la Station;3.0;55.0;XIXe;avenues de Flandre, 1, et Corentin Cariou.;en impasse
Maison Blanche.;rue Keufer;15.0;95.0;XIIIe;boulevard Kellermann, 31.;rue Max Jacob.
Pont de Flandre.;voie DF/19;10.0;420.0;XIXe;place Auguste Baron.;boulevard Périphérique extérieur est.
Amérique.;avenue René Fonck;14.0;250.0;XIXe;place du Maquis du Vercors.;avenue du Belvédère, 55.
Javel.;rue Henri Bocquillon;12.0;168.0;XVe;rue de Javel, 162.;rue de la Convention, 119.
Necker.;rue Rosa Bonheur;15.0;144.0;XVe;avenue de Breteuil, 78.;avenue de Suffren, 157.
Saint-Lambert.;avenue de la Porte Brancion;30.0;320.0;XVe;boulevard Lefebvre, 94.;rue Louis Vicat.
Necker. Saint-Lambert.;rue Dutot;20.0;375.0;XVe;rue des Volontaires, 52, et rue Vigée-Lebrun.;place d'Alleray, 5.
Sainte-Marguerite.;rue Titon;12.0;387.0;XIe;rue de Montreuil, 33.;rue Chanzy, 34.
Picpus.;rue Christian Dewet;9.74;102.0;XIIe;rue du Sergent Bauchat, 35.;rue Dorian, 11.
Muette.;place Possoz;40.0;45.0;XVIe;à la rencontre de l'avenue Paul Doumer et des rues Guichard, Paul Delaroche, Cortambert et Faustin Hélie.;
Bel Air.;route Odette;6.0;330.0;XIIe;avenue de Nogent.;route de la Belle Gabrielle (Fontenay-sous-Bois).
Picpus.;route du Parc;16.0;300.0;XIIe;avenue de Gravelle.;avenue de Saint-Maurice.
Picpus.;boulevard de Reuilly;42.0;790.0;XIIe;rue de Charenton, 211.;rue de Picpus, 94.
Picpus.;passage Stinville;8.0;40.0;XIIe;rue Montgallet, 27.;en impasse
Montparnasse.;villa Adrienne Simon;6.5;71.0;XIVe;rue Daguerre, 48.;en impasse
Bonne Nouvelle.;rue de la Ville Neuve;8.0;122.0;IIe;rue Beauregard, 5.;boulevard de Bonne Nouvelle, 31.
Vivienne. Faubourg Montmartre.;boulevard Montmartre;35.0;215.0;IIe,IXe;rue Montmartre, 169 et rue du Faubourg Montmartre, 1.;rue de Richelieu, 112 et rue Drouot, 2.
Notre-Dame.;quai d'Anjou;7.0;313.0;IVe;rue Saint-Louis en l'Île, 2, et pont de Sully.;rue des Deux Ponts, 20, et pont Marie.
Notre-Dame.;pont Saint-Louis;16.0;67.0;IVe;quais d'Orléans, et de Bourbon.;quai aux Fleurs, au droit de la rue Jean du Bellay et de la rue du Cloître Notre-Dame.
Gare.;rue Sthrau;12.0;150.0;XIIIe;rue de Tolbiac, 72.;rue Nationale, 100.
Montparnasse.;rue de Grancey;8.0;36.0;XIVe;place Denfert-Rochereau, 20.;rue Daguerre, 8.
Parc de Montsouris.;rue du Parc de Montsouris;10.0;170.0;XIVe;rue Émile Deutsch de la Meurthe, 4.;rues Emile Deutsch de la Meurthe, 2 et Nansouty, 18.
Petit Montrouge.;rue Sarrette;20.0;550.0;XIVe;place des Droits de l'Enfant.;avenue du Général Leclerc, 109-115.
Parc de Montsouris.;avenue de la Tunisie;8.0;340.0;XIVe;rue Emile Deutsch de la Meurthe.;pont qui franchit la ligne de Sceau.
Maison Blanche.;rue du Docteur Bourneville;20.0;150.0;XIIIe;boulevard Kellermann.;avenue de la Porte d'Italie.
Maison Blanche.;voie DF/13;10.0;310.0;XIIIe;boulevard Périphérique extérieur sud.;boulevard du Général de Gaulle (Le Kremlin Bicêtre).
Villette.;rue Tandou;12.0;220.0;XIXe;rue Euryale Dehaynin, 10.;rue de Crimée, 135.
Maison Blanche.;boulevard Kellermann;40.0;1200.0;XIIIe;avenue de la Porte d'Italie et avenue d'Italie, 192.;avenue Pierre De Coubertin et rue de l'Amiral Mouchez, 99.
Palais Royal.;rue de Ventadour;9.74;69.0;Ier;avenue de l'Opéra, 26, et rue Thérèse, 20.;rue des Petits Champs, 57.
Auteuil.;villa des Glizières;3.4;20.0;XVIe;rue des Pâtures, 4.;
Saint-Victor.;rue de Poissy;12.0;294.0;Ve;quai de la Tournelle, 29.;rue Saint-Victor, 2 et rue des Ecoles, 4 ter.
Chaussée d'Antin.;rue Gluck;20.0;100.0;IXe;place Jacques Rouché.;place Diaghilev.
Gros Caillou.;place Jacques Rueff;97.0;137.0;VIIe;avenue Joseph Bouvard.;
Saint-Victor.;rue Frédéric Sauton;11.0;100.0;Ve;rue des Grands Degrés, 9, et rue de la Bûcherie, 1.;place Maubert, rues Lagrange, 19 et Maître Albert.
Palais Royal.;rue Thérèse;10.0;196.0;Ier;rue Molière, 25 et rue de Richelieu, 39.;avenue de l'Opéra, 24 et rue de Ventadour, 2.
Odéon.;rue Clément;11.5;120.0;VIe;rue de Seine, 72.;rue Mabillon, 3.
Halles.;rue de la Petite Truanderie;0.0;34.0;Ier;rue Mondétour, 16.;rues Pierre Lescot, 11, et de la Grande Truanderie.
Saint-Victor.;cité du Cardinal Lemoine;10.0;40.0;Ve;rue du Cardinal Lemoine, 20.;en impasse
Saint-Victor.;rue Linné;23.0;245.0;Ve;rue Lacépède, 2 et rue Cuvier, 20.;rue Jussieu, 21 et place Jussieu, 7.
Jardin des Plantes.;rue Ortolan;9.0;130.0;Ve;rue Gracieuse, 23.;rue Mouffetard, 55.
Notre-Dame des Champs.;rue de Bérite;10.0;70.0;VIe;rue du Cherche-Midi, 67.;rue Jean-François Gerbillon, 9.
Saint-Germain des Prés. Odéon.;rue Bonaparte;11.0;1010.0;VIe;quai Malaquais, 7.;rue de Vaugirard, 58.
Saint-Germain des Prés.;rue de l'Échaudé;5.0;200.0;VIe;rue de Seine, 40.;boulevard Saint-Germain, 164.
Saint-Ambroise.;rue Pelée;12.0;255.0;XIe;rue Saint-Sabin, 62.;boulevard Richard Lenoir, 63.
Gros Caillou.;square Rapp;12.0;57.0;VIIe;avenue Rapp, 33.;en impasse
Ecole Militaire.;place El Salvador;0.0;0.0;VIIe;au croisement des avenues Duquesne et de Breteuil, au droit de la branche Nord de la place du Président Mithouard.;
Picpus.;square Saint-Charles;10.0;242.0;XIIe;rue de Reuilly, 55.;rue Pierre Bourdan, 17.
Maison Blanche.;rue Toussaint-Féron;20.0;107.0;XIIIe;avenue de Choisy, 139.;avenue d'Italie, 51.
Bel Air.;rue de la Voûte;10.0;420.0;XIIe;avenue du Docteur Arnold Netter, 54, et avenue de Saint-Mandé, 71.;boulevard Soult, 139.
Hôpital Saint-Louis.;passage Hébrard;12.0;195.0;Xe;rue Saint-Maur, 202.;rue du Chalet, 9.
Grandes Carrières.;rue des Tennis;4.0;115.0;XVIIIe;rue Lagille, 13.;rue Belliard, 183.
Charonne.;square Got;14.0;78.0;XXe;cours de Vincennes, 65.;rue Mounet-Sully, 3.
Charonne.;rue Reynaldo Hahn;15.0;220.0;XXe;rue de Lagny, 109.;rue Paganini.
Chapelle.;rue de la Louisiane;12.0;56.0;XVIIIe;rue de la Guadeloupe, 2.;rue de Torcy, 21.
Grandes Carrières.;passage du Champ à Loup;9.0;125.0;XVIIIe;rue Bernard Dimey, 5.;rue Leibniz, 72.
Epinettes.;passage Flourens;6.0;60.0;XVIIe;boulevard Bessières, 19.;rue Jean Leclaire, 39.
Plaine de Monceaux.;rue Alfred Roll;20.0;136.0;XVIIe;boulevard Pereire, 80 et place Loulou Gasté.;boulevard Berthier, 33.
Plaine de Monceaux.;rue Verniquet;12.0;238.0;XVIIe;boulevard Pereire, 86,  rue Alfred Roll, 2 et place Loulou Gasté.;boulevard Berthier, 15.
Grandes Carrières.;rue Georgette Agutte;12.0;182.0;XVIIIe;rue Championnet, 190 et rue Vauvenargues, 36.;rue Belliard, 151.
Muette. Porte Dauphine.;chemin de Ceinture Du Lac Inférieur;10.7;2600.0;XVIe;autour du lac Inférieur du bois de Boulogne, au carrefour des Cascades.;
Auteuil.;route de Boulogne à Passy;9.5;900.0;XVIe;Butte Mortemart.;porte de Boulogne.
Muette.;rue Raynouard;14.0;880.0;XVIe;place de Costa Rica.;place du Docteur Hayem, 2.
Auteuil.;rue Charles Tellier;12.0;144.0;XVIe;boulevard Murat, 157.;rue Le Marois, 19, 23.
Auteuil.;avenue Édouard Vaillant;12.0;300.0;XVIe;avenue Georges Lafont.;avenue de la Porte de Saint-Cloud.
Sainte-Marguerite.;rue Chanzy;12.0;425.0;XIe;rue Saint-Bernard, 26, rue Charrière  et esplanade Renée Lebas.;boulevard Voltaire, 210.
Folie-Méricourt.;impasse Questre;3.0;55.0;XIe;boulevard de Belleville, 19-23.;
Picpus.;voie A/12;5.0;105.0;XIIe;rue de Reuilly, 89.;en impasse.
Quinze-Vingts.;passage du Chantier;3.4;120.0;XIIe;rue de Charenton, 53.;rue du Faubourg Saint-Antoine, 66.
Picpus.;voie DF/12;6.0;280.0;XIIe;autoroute A4.;route de la Ferme.
Saint-Lambert.;place Romain Gary;0.0;0.0;XVe;angle de la rue des Périchaux, côté impair et rue de Dantzig.;
Maison Blanche.;avenue Caffieri;12.0;325.0;XIIIe;rue de la Poterne des Peupliers.;rue Thomire, 7, et rue Francis de Miomandre.
Maison Blanche.;voie DD/13;9.0;140.0;XIIIe;boulevard Périphérique intérieur sud.;avenue Pierre de Coubertin.
Maison Blanche.;voie DJ/13;9.0;250.0;XIIIe;avenue de la Porte d'Italie.;rue Jacques Destrée.
Maison Blanche.;passage Barrault;3.0;172.0;XIIIe;rue des Cinq Diamants, 48.;rue Barrault, 7.
Place Vendôme.;rue de Castiglione;22.5;155.0;Ier;rue de Rivoli, 232.;rue Saint-Honoré, 235.
Roquette.;allée Suzanne Noël;;;Xie, Xxe;terre-plein central du boulevard de Ménilmontant, commençant rue de la Roquette et finissant passage de la Folie-Regnault.;
Saint-Victor.;rue de Bièvre;5.0;155.0;Ve;quai de la Tournelle, 65.;boulevard Saint-Germain, 52.
Halles.;rue des Halles;20.0;235.0;Ier;rue de Rivoli, 104 et rue Saint-Denis, 7.;rue des Bourdonnais, 38 et rue Saint-Honoré.
Halles. Palais Royal. Place Vendôme. Madeleine.;rue Saint-Honoré;14.6;1840.0;Ier,VIIIe;rue des Halles, 21.;rue Royale, 14.
Saint-Victor. Sorbonne.;rue des Écoles;20.0;775.0;Ve;rue du Cardinal Lemoine, 30.;boulevard Saint-Michel, 25.
Odéon.;rue Servandoni;10.0;170.0;VIe;rue Palatine, 5.;rue de Vaugirard, 40.
Gare.;rue Leredde;10.0;163.0;XIIIe;rue de Tolbiac, 17.;rue du Dessous des Berges, 68.
Gros Caillou.;rue Bougainville;10.0;36.0;VIIe;avenue de La Motte-Picquet, 17.;rue Chevert, 14.
Invalides.;esplanade des Invalides;275.0;487.0;VIIe;entre les rues de Constantine, Robert Esnault-Pelterie, Fabert, le quai d'Orsay et l'Hôtel des Invalides.;
Saint-Thomas d'Aquin.;rue de Luynes;12.0;90.0;VIIe;boulevard Saint-Germain, 199 bis.;boulevard Raspail, 9.
Gros Caillou.;allée Jean Paulhan;20.0;173.0;VIIe;quai Branly.;avenue Gustave Eiffel, et avenue Silvestre de Sacy.
Maison Blanche.;rue du Moulinet;10.0;388.0;XIIIe;avenue d'Italie, 58.;rue Bobillot, 57.
Croulebarbe.;rue des Tanneries;10.0;200.0;XIIIe;rue Léon-Maurice Nordmann, 117.;rue du Champ de l'Alouette, 6.
Petit Montrouge.;rue Monticelli;20.0;94.0;XIVe;boulevard Jourdan, 95-101.;avenue Paul Appell, 6 et place Ambroise Croizat.
Plaisance.;rue Paturle;12.0;43.0;XIVe;rue Alfred Durand-Claye, 1 et rue Raymond Losserand.;rue Vercingétorix, 235.
Montparnasse.;rue Eugène Pelletan;6.0;47.0;XIVe;rue Froidevaux, 13.;rue Lalande, 1.
Petit Montrouge.;rue Edmond Rousse;15.0;81.0;XIVe;boulevard Brune, 132.;avenue Ernest Reyer, 39.
Vivienne.;rue Feydeau;8.0;252.0;IIe;rue Notre-Dame des Victoires, 27 et rue Saint-Marc, 1.;rue de Richelieu, 80.
Arsenal.;passage Jean Beausire;9.0;54.0;IVe;rue Jean Beausire, 11.;rue des Tournelles, 12.
Arsenal.;impasse Guéménée;8.7;78.0;IVe;rue Saint-Antoine, 26.;
Arsenal. Quinze-Vingts.;port Henri IV;19.0;760.0;IVe,XIIe;pont d'Austerlitz.;pont de Sully (rive droite).
Grandes Carrières.;passage Lathuille;5.0;120.0;XVIIIe;avenue de Clichy, 12 ter.;passage de Clichy, 11.
Grandes Carrières.;rue Germain Pilon;6.3;230.0;XVIIIe;boulevard de Clichy, 36.;rue des Abbesses, 31.
Grandes Carrières. Clignancourt.;rue Ravignan;15.0;140.0;XVIIIe;rue des Abbesses, 26.;place Jean-Baptiste Clément, 1 et rue Gabrielle, 51.
Goutte d'Or.;rue Richomme;8.0;175.0;XVIIIe;rue des Gardes, 25.;rue des Poissonniers, 10.
Charonne.;sentier de la Pointe;12.0;31.0;XXe;rue des Vignoles, 71.;place de la Réunion, 60.
Belleville.;voie BH/20;4.0;44.0;XXe;rue Ramponeau, 31.;en impasse.
Père Lachaise.;place Émile Landrin;0.0;0.0;XXe;au débouché de la rue des Prairies et limitée par la rue de la Cour des Noues.;
Charonne.;square du Quercy;14.5;67.0;XXe;rue Charles et Robert, 1.;avenue de la Porte de Montreuil, 2.
Père Lachaise.;rue des Rondonneaux;10.0;70.0;XXe;rue des Pyrénées, 227.;rue Emile Landrin, 16.
Saint-Fargeau.;rue de Noisy le Sec;20.0;330.0;XXe;rue des Fougères, et rue Le Vau.;rue de Noisy le Sec à la limite des territoires de Bagnolet et des Lilas, rue Evariste Galois, et rue Pierre Soulié.
Plaisance.;allée Henry Dunant;8.0;77.0;XIVe;voie Léonie Kastner.;en impasse.
Ecole Militaire.;place Pierre Laroque;0.0;0.0;VIIe;intersection des avenues Duquesne et de Ségur et de la rue d'Estrées.;
Bercy;place Gertrude Stein;14.0;33.0;XIIe;rue du Charolais, 47.;rue Jorge Semprun, 44.
Javel.;esplanade du Capitaine Henri Pierret;17.0;23.0;XVe;située au droit du 6, place Violet.;
Picpus.;voie DT/12;;;XIIe;rue de Chaligny, 34.;en impasse.
Amérique.;rue du Noyer-Durand;10.0;80.0;XIXe;avenue de la Porte Chaumont, 59.;rue du Progrès à la limite du territoire du Pré-Saint-Gervais.
Villette.;cité Lepage;4.0;145.0;XIXe;rue de Meaux, 31.;boulevard de la Villette, 168.
Amérique.;rue des Marchais;17.0;165.0;XIXe;boulevard d'Indochine.;en impasse au-delà de l'avenue de la Porte Brunet.
Combat.;allée Georges Recipon;3.5;152.0;XIXe;rue de Meaux, 20.;rue de Meaux, 34.
Amérique.;villa de la Renaissance;3.0;63.0;XIXe;rue de Mouzaïa, 43.;rue de l'Egalité, 6.
Auteuil.;rue Mallet-Stevens;7.0;77.0;XVIe;rue du Docteur Blanche, 9.;en impasse
Auteuil. Muette.;boulevard Suchet;30.0;1700.0;XVIe;place de Colombie, 1, et avenue Henri Martin.;rue d'Auteuil, et place de la Porte d'Auteuil.
Ternes.;voie BC/17;9.0;210.0;XVIIe;boulevard Périphérique intérieur ouest.;avenue de la Porte de Champerret.
Chapelle.;voie BO/18;10.0;50.0;XVIIIe;voie BN/18.;voie BM/18.
Epinettes.;rue Dautancourt;10.0;273.0;XVIIe;avenue de Clichy, 90.;rue Davy, 5.
Plaine de Monceaux.;rue Gounod;15.0;165.0;XVIIe;avenue de Wagram, 121.;rue Pierre Demours, 100 et rue de Prony, 79.
Epinettes.;rue du Capitaine Lagache;12.0;103.0;XVIIe;rue Legendre, 177.;rue Guy Môquet, 48.
Ternes.;rue du Général Lanrezac;10.0;110.0;XVIIe;avenue Carnot, 12.;avenue Mac-Mahon, 17.
Epinettes.;passage Moncey;3.5;80.0;XVIIe;avenue de Saint-Ouen, 35.;rue Dautancourt, 28.
Batignolles.;rue des Tapisseries;4.0;115.0;XVIIe;boulevard Pereire, 28 bis.;rue de Saussure, 131.
Ternes.;rue de l'Arc de Triomphe;9.7;153.0;XVIIe;rue du Général Lanrezac, 7.;rue des Acacias, 48.
Chapelle.;allée Valentin Abeille;5.0;99.0;XVIIIe;impasse Marteau, 27.;
Clignancourt.;voie BR/18;8.0;190.0;XVIIIe;avenue de la Porte de Clignancourt.;boulevard Périphérique intérieur est.
Necker.;voie F/15;2.8;42.0;XVe;rue Falguière, 41.;en impasse.
Javel.;place de la Montagne du Goulet;0.0;0.0;XVe;entre les nos 17 et 19 rue Balard, et le carrefour formé par les rues Piet Mondrian et Clément Myionnet.;
Javel.;allée Le Gramat;10.0;147.0;XVe;rue André Lefebvre, 5.;rue Gutenberg, 56.
Javel.;rue Paul Hervieu;12.0;96.0;XVe;avenue Émile Zola, 16.;rue du Capitaine Ménard, 6.
Javel.;place Alphonse Humbert;0.0;0.0;XVe;à la rencontre des rues du Capitaine Ménard et de Javel avec l'avenue Emile Zola et limitée à cette dernière voie.;
Saint-Lambert.;rue Léon Lhermitte;14.0;240.0;XVe;rue de la Croix Nivert, 91 et rue Théophraste Renaudot.;rue Péclet, 4.
Chaillot.;rue Brignole;12.0;60.0;XVIe;avenue du Président Wilson, 16.;avenue Pierre Ier de Serbie, 8.
Bercy.;rue Robert Etlin;9.0;250.0;XIIe;quai de Bercy.;boulevard Poniatowski.
Picpus.;route de la Belle Étoile;12.0;850.0;XIIe;route Saint-Hubert.;sentier non dénommé, longeant le ruisseau de Gravelle.
Faubourg du Roule.;rue Lamennais;13.0;123.0;VIIIe;rue Washington, 27.;avenue de Friedland, 19.
Europe.;rue de Lisbonne;15.0;810.0;VIIIe;rue du Général Foy, 13.;rue de Courcelles, 60.
Hôpital Saint-Louis.;cour des Bretons;3.0;238.0;Xe;rue du Faubourg du Temple, 99, et rue du Buisson Saint-Louis, 4.;
Porte Saint-Martin. Hôpital Saint-Louis. Folie-Méricourt.;rue du Faubourg Du Temple;20.0;996.0;Xe,XIe;place de la République, 10.;boulevard de la Villette, 1 et rue Louis Bonnet, 19.
Saint-Ambroise.;avenue Jean Aicard;12.0;240.0;XIe;rue des Bluets, 5-9.;rue Oberkampf, 130-140.
Jardin des Plantes.;rue du Puits de L'Ermite;12.0;100.0;Ve;rue Larrey, 9.;rue Monge, 83.
Notre-Dame des Champs.;rue de la Grande Chaumière;10.0;137.0;VIe;rue Notre-Dame des Champs, 72.;boulevard du Montparnasse, 115.
Odéon. Notre-Dame des Champs.;rue Madame;12.0;710.0;VIe;rue de Rennes, 55.;rue d'Assas, 49.
Folie-Méricourt.;place Pasdeloup;21.0;56.0;XIe;boulevards des Filles du Calvaire et du Temple et rues Oberkampf et Amelot.;
Saint-Germain des Prés. Saint-Thomas d'Aquin.;rue des Saints-Pères;10.0;765.0;VIe,VIIe;quais Malaquais, 23, et Voltaire, 1.;rue de Sèvres, 8.
Invalides.;place de Finlande;0.0;0.0;VIIe;quai d'Orsay, entre la rue Fabert et le boulevard de La Tour-Maubourg.;
Gros Caillou.;rue Jean Nicot;13.0;290.0;VIIe;quai d'Orsay, 65.;rue Saint-Dominique, 72.
Maison Blanche.;place André Trannoy;10.0;38.0;XIIIe;intersection de la rue des Cinq Diamants, et boulevard Auguste Blanqui.;
Plaisance.;place Flora Tristan;0.0;0.0;XIVe;intersection de rue Didot, rue de la Sablière, et rue Bénard.;
Gare.;villa du Vieux Chemin d'Ivry;;75.0;XIIIe;rue du Château des Rentiers, 56.;en impasse.
Notre-Dame des Champs.;place Laurent Terzieff et Pascale de Boysson;12.0;38.0;VIe;intersection des rues Vavin et Bréa.;
Chaillot.;allée de l'Abbé Guillaume Thomas Raynal;;;XVIe;allée centrale de l'avenue du Président Wilson, commençant rue de Lubeck et avenue Albert de Mun et finissant place du Trocadéro et du Onze Novembre.;
Halles.;patio-place Pina Bausch;32.0;34.0;Ier;entre les paliers des portes Lescot et Berger, les rues Basse et des Bons Vivants, le long du passage des Verrières, au niveau -3 du secteur Forum Central des Halles.;
Ternes.;voie BA/17;9.0;240.0;XVIIe;rue du Caporal Peugeot.;boulevard Périphérique intérieur ouest.
Ternes.;place Boulnois;7.75;55.0;XVIIe;rue Bayen, 6.;en impasse
Picpus. Bel Air.;route de la Croix Rouge;6.0;290.0;XIIe;route de Ceinture du Lac Daumesnil.;carrefour formé avec les routes des fortifications et de Reuilly.
Gare.;rue Aumont;12.0;60.0;XIIIe;rue de Tolbiac, 125.;avenue d'Ivry, 106.
Gare.;rue Jean-Baptiste Berlier;20.0;300.0;XIIIe;quai d'Ivry.;rue Bruneseau, et boulevard du Général Jean Simon.
Gare.;rue Bruneseau;20.0;520.0;XIIIe;quai d'Ivry.;boulevard du Général Jean Simon, et rue Jean-Baptiste Berlier.
Combat.;cité Stemler;3.5;190.0;XIXe;boulevard de la Villette, 56.;en impasse
Saint-Fargeau.;rue du Surmelin;15.0;545.0;XXe;rue Pelleport, 90, et place Paul Signac.;place de l'Adjudant Vincenot, 1.
Charonne.;rue Albert Willemetz;18.0;240.0;XXe;avenue de la Porte de Vincennes, 21.;rue de Lagny.
Parc de Montsouris.;rue des Berges Hennequines;15.0;48.0;XIVe;avenue de la Sibelle, 22.;rue de l'Empereur Julien, 12.
Parc de Montsouris.;rue Jean-Claude Arnould;4.0;136.0;XIVe;boulevard Saint-Jacques, 77.;rue Jean Minjoz, 10.
Amérique.;place Rhin et Danube;0.0;0.0;XIXe;rencontre des rues du Général Brunet, David d'Angers, Francis Ponge et Miguel Hidalgo.;
Sainte-Marguerite.;place Marie-José Nicoli;10.0;20.0;XIe;rue Guénot, 15.;impasse des Jardiniers.
Saint-Thomas d'Aquin;place Gabriel Garcia Marquez;0.0;0.0;VIIe;rue Montalembert et rue du Bac.;
Saint-Lambert.;place Geneviève de Gaulle Anthonioz;27.0;35.0;XVe;intersection de rue de Vaugirard, rue Alain Chartier, et rue de la Convention.;
Javel.;rue Marie Skobtsov;5.0;158.0;XVe;rue de Lourmel, 84.;
Ternes.;rue Milne-Edwards;12.0;52.0;XVIIe;boulevard Pereire, 164.;rue Jean-Baptiste Dumas, 4.
Batignolles.;rue Mariotte;10.0;100.0;XVIIe;rue des Dames, 54.;rue des Batignolles, 27 et place Richard Baret, 19.
Plaine de Monceaux.;square du Rhône;18.0;64.0;XVIIe;boulevard Berthier, 118.;en impasse
Ternes.;rue Aumont-Thiéville;12.0;119.0;XVIIe;boulevard Gouvion-Saint-Cyr, 25.;rue Roger Bacon, 11.
Clignancourt.;rue du Cardinal Dubois;12.0;125.0;XVIIIe;rue Lamarck, 1, et rue Maurice Utrillo.;rue Foyatier, et rue Saint-Éleuthère.
Père Lachaise.;rue du Repos;9.0;325.0;XXe;boulevard de Charonne, 194.;boulevard de Ménilmontant, 28.
Charonne.;rue Serpollet;20.0;300.0;XXe;boulevard Davout, 132.;en impasse au boulevard Périphérique.
Sainte-Marguerite.;passage Philippe-Auguste;15.0;65.0;XIe;passage Turquetil, 12.;avenue Philippe-Auguste, 35.
Roquette.;passage des Taillandiers;4.0;77.0;XIe;passage Thiéré, 8.;rue des Taillandiers, 7.
Picpus.;rue Sidi Brahim;10.0;120.0;XIIe;avenue Daumesnil, 219.;rue de Picpus, 98.
Bercy.;voie CQ/12;10.0;240.0;XIIe;autoroute A4.;voie CI/12.
Ternes.;avenue de Péterhof;10.0;30.0;XVIIe;avenue des Pavillons.;rue Guersant, 43.
Clignancourt.;rue Paul Féval;12.0;150.0;XVIIIe;rue du Mont Cenis, 35.;rue des Saules, 26.
Ternes.;rue Troyon;10.0;138.0;XVIIe;avenue de Wagram, 9.;avenue Mac-Mahon, 12 bis.
Goutte d'Or.;rue Erckmann-Chatrian;8.0;46.0;XVIIIe;rue Polonceau, 32-36.;rue Richomme, 9.
Charonne.;avenue de la Porte de Montreuil;40.0;160.0;XXe;boulevard Davout, 72.;avenue du Professeur André Lemierre, et avenue Benoît Frachon.
