Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Javel.;rue André Lefebvre;12.0;105.0;XVe;rue des Cévennes, 32.;rue Balard, 39.
Saint-Lambert.;passage Olivier De Serres;5.0;134.0;XVe;rue de Vaugirard, 363.;rue Olivier de Serres, 30.
Porte Dauphine.;rue du Général Anselin;7.0;260.0;XVIe;boulevard de l'Amiral Bruix, et boulevard Thierry de Martel.;route de la Porte des Sablons à la Porte Maillot.
Chaillot.;rue de l'Amiral D'Estaing;12.0;180.0;XVIe;rue de Lubeck, 8.;place des États-Unis, 17.
Muette.;villa Guibert;5.0;80.0;XVIe;rue de la Tour, 83.;en impasse
Auteuil. Muette.;avenue de l'Hippodrome;10.5;1700.0;XVIe;carrefour des Cascades.;carrefour de Norvège.
Chaillot.;avenue Kléber;36.0;1135.0;XVIe;place Charles de Gaulle.;place du Trocadéro et du Onze novembre, 4.
Muette.;avenue Rodin;10.0;85.0;XVIe;rue Mignard, 3.;rue de la Tour, 122.
Muette.;rue Vital;9.0;345.0;XVIe;rue de la Tour, 51.;rue de Passy, 66.
Charonne.;passage Hypatie d'Alexandrie;4.0;101.0;XXe;passage Fréquel, 13.;à son débouché sur le jardin de Vitaly.
Saint-Germain l'Auxerrois. Saint-Germain des Prés. Saint-Thomas d'Aquin.;pont du Carrousel;33.0;168.0;Ier,VIe,VIIe;quai François Mitterrand.;quai des Tuileries, et quai du Louvre.
Sainte-Avoye.;rue Brantôme;10.0;150.0;IIIe;rue Rambuteau, 46.;rue du Grenier Saint-Lazare, 11.
Enfants Rouges. Archives. Saint-Gervais.;rue Vieille du Temple;14.0;855.0;IIIe,IVe;rue de Rivoli, 36.;rue de Bretagne, 1.
Halles.;cour des Fermes;9.0;72.0;Ier;rue du Louvre, 15.;rue du Bouloi, 22.
Bercy.;place Lachambeaudie;38.0;150.0;XIIe;intersection des rues de Bercy, Proudhon, Gabriel Lamé et de Dijon.;
Notre-Dame des Champs.;rue Coëtlogon;12.0;108.0;VIe;rue de Rennes, 92.;rue d'Assas, 5.
Mail.;cité Montmartre;3.0;39.0;IIe;rue Montmartre, 55.;en impasse
Archives.;rue Roger Verlomme;20.0;96.0;IIIe;rue des Tournelles, 33.;rue de Béarn, 6.
Arsenal.;rue de Brissac;10.0;42.0;IVe;boulevard Morland, 10.;rue Crillon, 5.
Saint-Georges.;rue de Cheverus;10.0;67.0;IXe;place d'Estienne d''Orves, 8.;rue de la Trinité, 1.
Petit Montrouge.;rue du Commandeur;10.0;245.0;XIVe;rue Bezout, 11.;passage Montbrun, 9, et rue Bezout, 35.
Plaisance.;impasse Florimont;2.0;47.0;XIVe;rue d'Alésia, 150.;
Amérique.;rue de Bellevue;12.0;295.0;XIXe;rue Compans, 72.;rue des Lilas, 31.
Saint-Thomas d'Aquin.;place René Laennec;0.0;0.0;VIIe;intersection des rues de Babylone et Chomel.;
Montparnasse.;rue Cels;10.0;158.0;XIVe;rue Fermat, 8.;rue Auguste Mie, 5.
Petit Montrouge.;rue de Coulmiers;8.0;315.0;XIVe;avenue du Général Leclerc, 124.;avenue Jean Moulin, 41.
Amérique.;rue Blanche-Antoinette;7.0;27.0;XIXe;rue François Pinton, 4.;en impasse
Sainte-Marguerite. Roquette.;rue Léon Frot;18.0;700.0;XIe;boulevard Voltaire, 195.;rue de la Roquette, 158.
Saint-Ambroise.;rue du Général Renault;30.0;45.0;XIe;avenue Parmentier, 36.;rue du Général Blaise, 5 bis.
Roquette. Sainte-Marguerite. Quinze-Vingts. Picpus.;rue du Faubourg Saint-Antoine;17.0;1810.0;XIe,XIIe;rue de la Roquette, 2 et rue de Charenton, 1.;place de la Nation, 1.
Bel Air.;route Brûlée;5.0;560.0;XIIe;route de la Tourelle.;avenue Daumesnil.
Bercy.;voie CR/12;10.0;80.0;XIIe;voie CQ/12.;rue du Général de Langle de Cary.
Porte Dauphine.;avenue Bugeaud;15.0;542.0;XVIe;place Victor Hugo, 8.;avenue Foch, 77.
Chaillot.;rue Chalgrin;12.0;273.0;XVIe;avenue Foch, 20.;rue Le Sueur, 4.
Auteuil.;impasse Corneille;4.4;62.0;XVIe;avenue Despréaux.;
Auteuil.;avenue Félix D'Hérelle;20.0;120.0;XVIe;avenue Georges Lafont.;en impasse
Amérique.;rue de l'Encheval;10.0;106.0;XIXe;rue de la Villette, 92-98.;rue des Annelets, 35, et rue de Crimée, 37.
Grenelle.;rue du Général Baratier;10.0;44.0;XVe;avenue de Champaubert, 9.;avenue de la Motte-Picquet, 52.
Grenelle.;place Dupleix;61.0;113.0;XVe;à l'intersection des rues Dupleix, 26, de Pondichéry, de Presles et Auguste Bartholdi.;
Charonne.;rue des Ormeaux;6.0;176.0;XXe;boulevard de Charonne, 34.;rue d'Avron, 22 et passage Ormeaux-Grands Champs, 1.
Parc de Montsouris.;avenue de la Sibelle;15.0;260.0;XIVe;rue d'Alésia, 5ter.;avenue Reille, 40.
Saint-Victor.;placette Jacqueline de Romilly;0.0;0.0;Ve;à la jonction des rues Descartes et de la Montagne Sainte-Geneviève.;
Bercy;rue Simone Iff;;;XIIe;rue Jorge Semprun, 34.;place Gertrude Stein, 3.
Faubourg Montmartre.;place Daniel Iffla-Osiris;;;IXe;intersection des boulevards Haussmann et des Italiens.;
Chaussée d'Antin.;place Théophile Bader;;;Ixe;intersection du boulevard Haussmann et des rues de la Chaussée d'Antin, La Fayette et Halévy.;
Palais Royal.;passage de Beaujolais;1.5;17.0;Ier;rue de Montpensier, 47.;rue de Richelieu, 52.
Chaillot.;avenue Hussein 1er de Jordanie;16.0;80.0;XVIe;avenue Gustave V de Suède.;avenue Albert Ier de Monaco.
Sorbonne.;rue du Fouarre;17.6;50.0;Ve;rue Lagrange, 4-10.;rue Galande, 38.
Saint-Thomas d'Aquin.;square La Rochefoucauld;11.0;90.0;VIIe;rue du Bac, 108.;en impasse
Mail.;rue Bachaumont;12.0;174.0;IIe;rue Montorgueil, 63.;rue Montmartre, 78.
Mail. Faubourg Montmartre.;boulevard Poissonnière;35.0;351.0;IIe,IXe;rue Poissonnière, 35 et rue du Faubourg Poissonnière, 3.;rue Montmartre, 178 et rue du Faubourg Montmartre, 2.
Archives.;rue des Arquebusiers;10.0;153.0;IIIe;boulevard Beaumarchais, 89.;rue Saint-Claude, 3.
